Frame,Time,ArmorID,Truth_X,Truth_Y,Truth_Z,Pred_Polar_X,Pred_Polar_Y,Pred_Polar_Z,Pred_Cart_X,Pred_Cart_Y,Pred_Cart_Z,Error_Polar,Error_Cartesian
56,1.86667,-1,2.98042,0.462276,-0.284012,5.69614,0.459764,-0.452275,4.11053,1.00483,-0.307527,2.72093,1.25382
57,1.9,-1,3.27788,0.803657,-0.245513,5.55502,1.19061,-0.4117,3.88873,0.891035,-0.302331,2.31576,0.619678
58,1.93333,-1,3.16407,0.730001,-0.241617,5.31514,1.08669,-0.395218,3.75387,0.781586,-0.296841,2.18585,0.594623
59,1.96667,-1,2.99107,0.63148,-0.23314,5.00862,0.987482,-0.373358,3.56343,0.659334,-0.281699,2.05351,0.575095
61,2.03333,-1,2.93964,0.482404,-0.232623,4.59536,0.763746,-0.342425,3.98304,0.966132,-0.250782,1.68304,1.15022
62,2.06667,-1,3.05438,0.431053,-0.239373,4.4224,0.592836,-0.325556,3.83986,0.883192,-0.245887,1.38024,0.906335
63,2.1,-1,3.10667,0.749198,-0.284445,3.79045,1.19939,-0.336566,3.62675,0.768249,-0.236266,0.820334,0.522653
66,2.2,-1,2.83039,0.473052,-0.26843,3.26802,0.569796,-0.311591,3.60786,0.509773,-0.24263,0.450263,0.778767
68,2.26667,-1,3.26622,0.765906,-0.246885,3.5073,0.789457,-0.265974,3.56357,0.772932,-0.292442,0.242976,0.300896
70,2.33333,-1,10.104,2.6044,-0.831169,4.14954,0.558379,-0.254369,3.25612,0.521865,-0.27263,6.32253,7.1793
72,2.4,-1,2.96535,0.446162,-0.231046,3.28749,0.241178,-0.247041,3.73824,0.868011,-0.246087,0.382157,0.880649
73,2.43333,-1,3.09677,0.402334,-0.237566,3.29904,0.134477,-0.241058,3.54836,0.768682,-0.237489,0.335667,0.5815
74,2.46667,-1,3.18595,0.737725,-0.295905,4.02413,0.896207,-0.378531,11.2512,2.8908,-0.889617,0.857024,8.36878
76,2.53333,-1,2.91698,0.537664,-0.278554,3.75557,0.506632,-0.361468,2.64902,0.293589,-0.16998,0.843254,0.378369
78,2.6,-1,3.13445,0.414757,-0.29577,3.71369,-0.00532826,-0.339174,2.83545,0.599659,-0.238328,0.716853,0.356209
79,2.63333,-1,3.18101,0.731553,-0.242623,3.65371,0.865253,-0.276455,2.69801,0.499024,-0.230351,0.492402,0.5362
80,2.66667,-1,3.06511,0.648327,-0.23814,3.50091,0.716198,-0.26547,2.55609,0.388533,-0.2226,0.441898,0.571695
82,2.73333,-1,2.90466,0.480655,-0.228234,3.41175,0.469526,-0.259031,2.85043,0.253255,-0.24849,0.508142,0.234654
83,2.76667,-1,3.03896,0.430418,-0.239213,3.42324,0.191031,-0.254053,2.91169,0.605142,-0.191437,0.452986,0.22138
84,2.8,-1,3.20921,0.771149,-0.29099,3.1052,1.00663,-0.29752,2.79122,0.519921,-0.187221,0.257517,0.498601
86,2.86667,-1,2.94845,0.578971,-0.277683,2.81433,0.586063,-0.287511,2.62238,0.329411,-0.179949,0.134669,0.422081
88,2.93333,-1,2.92209,0.414838,-0.275814,2.89022,0.0302394,-0.282261,2.97114,0.654691,-0.251438,0.385971,0.246028
89,2.96667,-1,3.27529,0.763191,-0.245562,3.07864,0.810839,-0.22815,2.79631,0.552107,-0.243808,0.203085,0.523427
90,3,-1,3.0785,0.670487,-0.235832,2.98535,0.648328,-0.223785,2.69585,0.451209,-0.239213,0.0965017,0.441038
93,3.1,-1,2.89552,0.440736,-0.226523,2.97699,0.136986,-0.22037,3.08175,0.650281,-0.208136,0.314547,0.280944
94,3.13333,-1,3.02248,0.394758,-0.234494,3.0846,-0.0369362,-0.220128,2.87343,0.554594,-0.198031,0.436378,0.221569
95,3.16667,-1,3.10529,0.720401,-0.286078,2.71089,0.744177,-0.267329,2.7824,0.470496,-0.195892,0.395558,0.418142
97,3.23333,-1,2.87483,0.538107,-0.274715,2.58041,0.356428,-0.263936,2.68349,0.29818,-0.191398,0.346134,0.31799
99,3.3,-1,3.08414,0.417502,-0.292085,2.99385,0.888992,-0.217757,2.92547,0.611836,-0.258829,0.485776,0.253075
100,3.33333,-1,3.2812,0.757687,-0.249491,2.91821,0.730861,-0.218048,2.84847,0.532251,-0.258615,0.365333,0.488014
101,3.36667,-1,3.00873,0.64382,-0.232871,2.87782,0.610721,-0.216832,2.68015,0.418659,-0.248175,0.135979,0.398623
104,3.46667,-1,2.91756,0.423553,-0.230357,2.99726,0.177319,-0.223547,3.17277,0.660572,-0.225351,0.258899,0.348329
105,3.5,-1,3.28311,0.796667,-0.296905,2.87749,0.926689,-0.271765,2.877,0.540985,-0.207177,0.426693,0.48821
106,3.53333,-1,3.10307,0.697791,-0.287414,4.1058,0.904635,-0.388566,11.7349,2.96203,-0.958239,1.02882,8.949
108,3.6,-1,2.82772,0.493714,-0.269042,3.93673,0.473242,-0.378471,1.97582,0.0665994,-0.138863,1.11458,0.961826
109,3.63333,-1,2.92174,0.429232,-0.277556,4.00052,0.0980885,-0.369341,2.31974,0.462282,-0.207573,1.13219,0.60695
110,3.66667,-1,2.94461,0.359494,-0.276016,3.9838,0.972246,-0.297645,2.14853,0.365375,-0.199995,1.20658,0.799723
111,3.7,-1,3.05013,0.675326,-0.233762,3.79865,0.789154,-0.285867,2.01769,0.261405,-0.1931,0.758918,1.11307
112,3.73333,-1,2.95494,0.598017,-0.230282,3.63937,0.673524,-0.272569,1.88988,0.154914,-0.183984,0.68988,1.15449
113,3.76667,-1,2.91102,0.523609,-0.22808,3.52322,0.552699,-0.262485,2.01743,0.0913042,-0.195562,0.613856,0.993198
114,3.8,-1,2.90223,0.454544,-0.227975,3.47027,0.431629,-0.255583,2.06807,0.0222652,-0.196142,0.569172,0.940054
115,3.83333,-1,2.93361,0.3946,-0.228323,3.50891,0.153806,-0.252279,2.20944,0.381752,-0.151329,0.624122,0.72837
116,3.86667,-1,3.10625,0.731604,-0.2861,3.25084,1.00977,-0.305905,2.12774,0.307133,-0.149273,0.314121,1.07535
117,3.9,-1,3.09146,0.668987,-0.291406,3.08143,0.786265,-0.301532,2.1008,0.231513,-0.149032,0.118141,1.09227
118,3.93333,-1,2.9009,0.557575,-0.277085,2.9666,0.602161,-0.297063,2.11331,0.161864,-0.151115,0.0818736,0.890374
120,4,-1,2.9617,0.413035,-0.281957,3.05302,0.0528322,-0.291803,2.38593,0.487047,-0.220436,0.371731,0.583754
121,4.03333,-1,3.3858,0.790974,-0.256609,3.13138,0.902259,-0.230685,2.39205,0.427625,-0.228892,0.278898,1.05846
122,4.06667,-1,3.08296,0.670886,-0.239499,3.01644,0.703217,-0.22624,2.19881,0.309202,-0.214733,0.0751391,0.95559
125,4.16667,-1,3.0149,0.449954,-0.238245,3.10225,0.122925,-0.226865,2.83667,0.583133,-0.200595,0.338685,0.225651
126,4.2,-1,3.13728,0.398176,-0.24762,3.26641,-0.0673017,-0.227801,2.5191,0.459146,-0.18282,0.483463,0.624554
127,4.23333,-1,3.13745,0.715629,-0.290636,2.86634,0.729998,-0.285617,2.4626,0.378654,-0.183004,0.271545,0.761951
129,4.3,-1,2.8534,0.508325,-0.272479,2.80793,0.409401,-0.285638,2.51104,0.222962,-0.188409,0.109666,0.453554
130,4.33333,-1,2.87442,0.432297,-0.274678,2.84892,0.292376,-0.288271,2.66139,0.170573,-0.200256,0.142872,0.345568
131,4.36667,-1,3.12996,0.390098,-0.295287,3.05066,-0.00548063,-0.287512,2.67567,0.528505,-0.249378,0.403524,0.477123
132,4.4,-1,3.1574,0.705167,-0.242905,3.03318,0.822959,-0.229485,2.5917,0.437573,-0.248221,0.171713,0.625823
133,4.43333,-1,3.01177,0.616454,-0.236211,2.9685,0.676359,-0.225443,2.3839,0.310621,-0.231829,0.0746781,0.698407
134,4.46667,-1,2.87095,0.523568,-0.226618,2.93431,0.547228,-0.222522,2.41828,0.230127,-0.235244,0.0677557,0.539531
135,4.5,-1,2.89629,0.460187,-0.228289,2.97088,0.428006,-0.223847,2.71645,0.187904,-0.259371,0.0813614,0.32779
136,4.53333,-1,3.09279,0.420875,-0.242597,3.08253,0.163609,-0.226433,2.76158,0.545142,-0.202097,0.257978,0.35607
137,4.56667,-1,3.19803,0.757358,-0.295326,2.95669,0.940769,-0.282883,2.61039,0.45389,-0.195225,0.303385,0.668906
138,4.6,-1,3.12962,0.681802,-0.294944,2.84442,0.747137,-0.281852,2.46282,0.353703,-0.185595,0.292876,0.751149
139,4.63333,-1,2.92973,0.569032,-0.280561,2.78447,0.572439,-0.281136,2.50159,0.286641,-0.18856,0.145307,0.521068
140,4.66667,-1,2.83193,0.473618,-0.272545,2.80033,0.416315,-0.283221,2.7338,0.246967,-0.205789,0.0663058,0.255845
141,4.7,-1,2.95302,0.41502,-0.282879,2.94175,0.0961652,-0.284748,2.86465,0.629331,-0.266211,0.319059,0.232414
142,4.73333,-1,3.27925,0.767285,-0.249167,3.06945,0.847047,-0.230063,2.79889,0.551883,-0.267216,0.22526,0.526755
143,4.76667,-1,3.09804,0.676203,-0.240615,2.98725,0.658482,-0.228437,2.58339,0.428243,-0.251881,0.112857,0.571375
144,4.8,-1,3.07943,0.608655,-0.24402,2.94753,0.512807,-0.225609,2.48168,0.323946,-0.243575,0.164081,0.662088
145,4.83333,-1,2.85606,0.496097,-0.228622,2.96081,0.402274,-0.225191,2.62751,0.261491,-0.255997,0.140665,0.328673
146,4.86667,-1,2.97757,0.445184,-0.237773,3.07212,0.168469,-0.228598,3.00613,0.662261,-0.218959,0.292565,0.219754
147,4.9,-1,3.09064,0.393444,-0.243949,3.22388,0.00113635,-0.230367,2.8138,0.566618,-0.209884,0.414539,0.328314
148,4.93333,-1,3.20916,0.734175,-0.298164,2.91454,0.715628,-0.286852,2.79964,0.492885,-0.214573,0.295413,0.482608
149,4.96667,-1,3.04343,0.627833,-0.289035,2.85979,0.593079,-0.286146,2.55609,0.368751,-0.198148,0.186922,0.559358
151,5.03333,-1,2.85092,0.431969,-0.274146,2.88825,0.304982,-0.288949,2.83771,0.259119,-0.217212,0.133184,0.182464
152,5.06667,-1,2.95972,0.370491,-0.280885,3.07357,0.0503195,-0.290481,2.9807,0.647628,-0.279354,0.339946,0.277934
153,5.1,-1,3.09591,0.692459,-0.238936,3.07019,0.796357,-0.236085,2.80187,0.533835,-0.270211,0.107074,0.335564
155,5.16667,-1,2.91002,0.532373,-0.231423,2.98592,0.51831,-0.232924,2.58717,0.299133,-0.253669,0.0772015,0.398909
156,5.2,-1,2.85456,0.454432,-0.226603,3.00563,0.404404,-0.23174,2.71537,0.232328,-0.261708,0.159224,0.264453
157,5.23333,-1,2.98401,0.406382,-0.235778,3.11149,0.178613,-0.233254,2.87627,0.596476,-0.215332,0.26103,0.219459
158,5.26667,-1,3.17839,0.753202,-0.293659,2.97543,0.890459,-0.287018,2.76952,0.515133,-0.21112,0.245108,0.480276
159,5.3,-1,3.0208,0.659916,-0.287238,2.88966,0.721774,-0.286608,2.68119,0.425256,-0.207807,0.144993,0.420364
160,5.33333,-1,2.86431,0.557676,-0.27525,2.82909,0.560238,-0.28503,2.6248,0.340008,-0.203058,0.0366362,0.331593
162,5.4,-1,2.94979,0.41529,-0.28429,2.95925,0.13949,-0.286958,3.00292,0.681759,-0.279894,0.275975,0.271749
163,5.43333,-1,3.15479,0.738216,-0.240794,3.07163,0.830817,-0.233164,2.83295,0.582638,-0.273705,0.124691,0.358983
164,5.46667,-1,3.10928,0.678866,-0.243324,2.99003,0.675861,-0.230874,2.66074,0.468872,-0.260553,0.119934,0.495557
167,5.56667,-1,2.93581,0.439534,-0.235447,3.04385,0.187089,-0.232507,3.02238,0.663867,-0.225049,0.27461,0.240683
169,5.63333,-1,3.12282,0.714635,-0.291113,2.93387,0.700359,-0.288879,2.89456,0.516517,-0.225732,0.189494,0.309237
173,5.76667,-1,3.02706,0.376127,-0.289793,3.09225,0.00173396,-0.289546,3.03042,0.670785,-0.289545,0.380027,0.294678
174,5.8,-1,3.17496,0.707799,-0.245893,3.07138,0.701493,-0.235888,2.91598,0.571912,-0.285164,0.10426,0.295092
177,5.9,-1,2.86735,0.453168,-0.229183,3.02099,0.387156,-0.23323,2.92102,0.285686,-0.287471,0.167263,0.185278
178,5.93333,-1,3.00515,0.40491,-0.238079,3.13642,0.170813,-0.236142,3.0886,0.652904,-0.239313,0.268397,0.261659
179,5.96667,-1,3.22488,0.760756,-0.299647,3.01681,0.834924,-0.289435,2.93112,0.560156,-0.23174,0.22113,0.362143
181,6.03333,-1,2.92597,0.565261,-0.283406,2.88571,0.54399,-0.28754,2.74408,0.364569,-0.220182,0.0457159,0.278134
182,6.06667,-1,2.83158,0.470431,-0.275626,2.89277,0.41016,-0.288357,2.8974,0.312089,-0.230111,0.0868313,0.177418
183,6.1,-1,2.91132,0.4038,-0.281307,3.03663,0.148978,-0.290713,3.14366,0.706002,-0.298248,0.284122,0.381571
184,6.13333,-1,3.27061,0.760521,-0.250589,3.10031,0.803773,-0.237294,2.90124,0.591551,-0.283304,0.176212,0.407498
185,6.16667,-1,2.98369,0.646718,-0.234344,3.0286,0.647179,-0.236033,2.8182,0.495646,-0.280915,0.0449373,0.228866
186,6.2,-1,2.91615,0.571385,-0.232765,2.98523,0.526356,-0.233218,2.71566,0.391508,-0.27234,0.0824624,0.272243
188,6.26667,-1,2.96483,0.43643,-0.239325,3.08755,0.231099,-0.235502,3.20902,0.716547,-0.244654,0.239239,0.371647
189,6.3,-1,3.14996,0.392101,-0.252224,3.19719,0.0834997,-0.235538,2.89536,0.594942,-0.226419,0.312639,0.326549
190,6.33333,-1,3.12013,0.707969,-0.293975,2.93862,0.734592,-0.286988,2.81955,0.511291,-0.224703,0.183584,0.365829
192,6.4,-1,2.80869,0.495446,-0.272051,2.87851,0.502009,-0.28802,2.8879,0.351774,-0.233501,0.0719266,0.168528
193,6.43333,-1,2.82883,0.419654,-0.274396,2.91423,0.392974,-0.291362,3.09584,0.303641,-0.248036,0.0910643,0.29232
194,6.46667,-1,2.97712,0.361581,-0.28592,3.05985,0.125746,-0.292284,3.06617,0.655846,-0.294591,0.250007,0.307567
195,6.5,-1,3.09747,0.684955,-0.242278,3.06795,0.757765,-0.239347,2.87285,0.540687,-0.283667,0.0786243,0.270148
196,6.53333,-1,2.98832,0.603594,-0.2379,2.99789,0.626098,-0.235832,2.72131,0.424897,-0.270549,0.0245407,0.322952
197,6.56667,-1,2.86384,0.51319,-0.229832,2.96,0.514607,-0.233024,2.74468,0.341314,-0.273076,0.0962225,0.213568
198,6.6,-1,2.86865,0.443813,-0.230891,2.97805,0.397676,-0.233034,2.91258,0.27793,-0.285987,0.118746,0.180229
199,6.63333,-1,3.00328,0.394818,-0.239523,3.07955,0.192726,-0.234768,3.05035,0.640668,-0.237388,0.216058,0.250325
200,6.66667,-1,3.09663,0.724096,-0.290166,2.96424,0.815041,-0.286225,2.93101,0.554451,-0.23217,0.160673,0.244075
201,6.7,-1,3.02718,0.647996,-0.29106,2.87684,0.649705,-0.285159,2.79225,0.453892,-0.223258,0.150466,0.312196
202,6.73333,-1,2.88915,0.546138,-0.281506,2.8354,0.513075,-0.28427,2.79837,0.376948,-0.224548,0.0631622,0.200276
203,6.76667,-1,2.77226,0.449763,-0.27058,2.85234,0.37856,-0.28523,2.95136,0.323236,-0.234419,0.108154,0.222245
204,6.8,-1,2.81656,0.378058,-0.272623,2.96782,0.146954,-0.286022,3.05906,0.694201,-0.291473,0.276526,0.398881
205,6.83333,-1,3.17737,0.730854,-0.246259,3.02713,0.759723,-0.235634,2.98321,0.613173,-0.292983,0.153362,0.231798
206,6.86667,-1,2.97899,0.63611,-0.237092,2.97135,0.63055,-0.234646,2.8287,0.498987,-0.282205,0.00976255,0.208386
207,6.9,-1,2.95855,0.567259,-0.238612,2.924,0.506434,-0.231542,2.6976,0.390941,-0.269797,0.0703068,0.31647
208,6.93333,-1,2.80245,0.469313,-0.226435,2.92447,0.3798,-0.229617,2.74844,0.310995,-0.272001,0.151367,0.173373
209,6.96667,-1,2.89525,0.412313,-0.234169,3.0262,0.202273,-0.232027,3.15718,0.709447,-0.242358,0.247525,0.396191
210,7,-1,3.28333,0.791565,-0.304096,2.94281,0.820409,-0.283091,2.9382,0.607153,-0.231868,0.342381,0.397919
211,7.03333,-1,2.98659,0.666362,-0.282691,2.87451,0.67557,-0.283957,2.91432,0.529454,-0.23364,0.112458,0.162396
212,7.06667,-1,2.87945,0.572943,-0.277751,2.81481,0.523071,-0.282309,2.7394,0.419411,-0.220076,0.0817743,0.215667
213,7.1,-1,2.78397,0.475979,-0.271024,2.81538,0.389671,-0.282561,2.84437,0.35558,-0.228868,0.0925656,0.141142
214,7.13333,-1,2.87137,0.409578,-0.279095,2.9431,0.179734,-0.2855,3.28501,0.784823,-0.308049,0.240861,0.559234
215,7.16667,-1,2.90657,0.337893,-0.278835,3.07854,0.0307039,-0.284828,2.95403,0.647718,-0.284507,0.352098,0.31349
216,7.2,-1,3.08066,0.669808,-0.242701,2.96927,0.668083,-0.232989,2.83085,0.54145,-0.278646,0.111827,0.283147
217,7.23333,-1,2.91131,0.575149,-0.232454,2.92178,0.563532,-0.230609,2.72328,0.43183,-0.27096,0.0157479,0.239536
219,7.3,-1,2.82368,0.422221,-0.227134,2.93063,0.349823,-0.229466,2.86523,0.276945,-0.279777,0.129175,0.16001
220,7.33333,-1,3.01756,0.382891,-0.240701,3.03945,0.177536,-0.231543,3.06388,0.653598,-0.238865,0.206721,0.274648
221,7.36667,-1,3.00413,0.69192,-0.284043,2.9083,0.770088,-0.281574,2.87464,0.550561,-0.227001,0.123693,0.20001
223,7.43333,-1,2.85838,0.525223,-0.27918,2.81258,0.451505,-0.280342,2.76749,0.361357,-0.220857,0.0867946,0.196251
224,7.46667,-1,2.80021,0.4379,-0.274787,2.84633,0.355827,-0.282104,2.98586,0.317526,-0.23622,0.0944281,0.224595
225,7.5,-1,2.96377,0.383143,-0.287957,2.96135,0.14886,-0.282467,2.9738,0.665662,-0.285115,0.23436,0.282711
226,7.53333,-1,3.08117,0.699817,-0.240988,2.97706,0.73622,-0.232948,2.91387,0.586909,-0.287814,0.110588,0.207196
227,7.56667,-1,3.0059,0.630106,-0.23933,2.92768,0.607973,-0.23212,2.81137,0.482702,-0.280058,0.0816173,0.247446
228,7.6,-1,2.81072,0.526164,-0.228183,2.89928,0.500553,-0.230477,2.74639,0.384797,-0.275018,0.092214,0.162222
229,7.63333,-1,2.77404,0.451435,-0.226417,2.92233,0.414205,-0.231638,2.9314,0.323849,-0.28978,0.15298,0.212261
230,7.66667,-1,2.94666,0.406691,-0.239241,3.00421,0.234334,-0.233364,3.0663,0.681557,-0.23699,0.181808,0.299786
231,7.7,-1,3.10684,0.740273,-0.289626,2.95382,0.809838,-0.284183,2.98325,0.606985,-0.234741,0.168184,0.189881
232,7.73333,-1,3.00447,0.658548,-0.287258,2.874,0.683673,-0.283346,2.76316,0.489825,-0.222295,0.13292,0.301529
233,7.76667,-1,2.92896,0.568619,-0.285422,2.80806,0.538709,-0.281837,2.72116,0.405549,-0.220364,0.124589,0.272041
235,7.83333,-1,2.85999,0.392248,-0.278613,2.90793,0.203933,-0.28417,3.10071,0.733299,-0.292143,0.1944,0.417665
236,7.86667,-1,3.26795,0.751887,-0.253681,3.00543,0.761233,-0.234721,2.98703,0.644815,-0.289934,0.26337,0.302807
237,7.9,-1,3.01055,0.644903,-0.238034,2.95167,0.637038,-0.234862,2.90119,0.542804,-0.287756,0.0594892,0.157662
239,7.96667,-1,2.79139,0.474067,-0.225541,2.92428,0.399341,-0.233882,2.81752,0.324977,-0.278993,0.152684,0.160523
240,8,-1,2.8994,0.422032,-0.234064,3.03559,0.221143,-0.237459,3.27524,0.728188,-0.250972,0.24273,0.485053
241,8.03333,-1,2.85857,0.353625,-0.22795,3.14984,0.0999731,-0.237937,2.99101,0.612848,-0.233252,0.386366,0.291142
242,8.06667,-1,3.12542,0.710996,-0.298053,2.9233,0.656049,-0.287933,2.91634,0.529215,-0.233503,0.2097,0.284477
243,8.1,-1,3.02164,0.621046,-0.293906,2.86681,0.554754,-0.285788,2.74312,0.421435,-0.219344,0.168624,0.35068
244,8.13333,-1,2.78069,0.499394,-0.274683,2.85049,0.473007,-0.285531,2.86421,0.363518,-0.228965,0.075401,0.165913
245,8.16667,-1,2.83252,0.429775,-0.279475,2.85628,0.335581,-0.284484,2.82052,0.287813,-0.222336,0.0972719,0.1535
246,8.2,-1,2.96793,0.37106,-0.288352,2.99634,0.147883,-0.286777,3.12138,0.691019,-0.30129,0.224984,0.35509
247,8.23333,-1,3.1772,0.714537,-0.249351,2.99784,0.715888,-0.23824,3.00756,0.594216,-0.297277,0.179704,0.213428
248,8.26667,-1,2.93673,0.606375,-0.23623,2.94032,0.605038,-0.236114,2.73554,0.457098,-0.275488,0.00382869,0.253579
249,8.3,-1,2.86381,0.525933,-0.233023,2.91653,0.51152,-0.234984,2.79273,0.378626,-0.280656,0.0546919,0.170354
250,8.33333,-1,2.80034,0.444157,-0.229284,2.93527,0.414447,-0.235607,2.94715,0.313238,-0.290677,0.138312,0.206067
251,8.36667,-1,2.9183,0.390792,-0.236775,3.03704,0.239867,-0.238034,3.18531,0.701836,-0.246708,0.19204,0.410052
252,8.4,-1,3.19626,0.75363,-0.300397,2.9679,0.789513,-0.287595,2.91595,0.583852,-0.231563,0.231525,0.334872
253,8.43333,-1,3.03629,0.653856,-0.291996,2.88892,0.642556,-0.286936,2.83169,0.4926,-0.227941,0.14789,0.268266
254,8.46667,-1,2.86915,0.54334,-0.279713,2.84176,0.519227,-0.285439,2.76019,0.400392,-0.223841,0.0369368,0.188224
255,8.5,-1,2.77179,0.445092,-0.273579,2.84949,0.397631,-0.285745,2.89405,0.340571,-0.232435,0.0918544,0.16603
256,8.53333,-1,2.9241,0.387148,-0.28586,2.97288,0.204562,-0.287951,3.21029,0.751718,-0.304571,0.189002,0.463861
257,8.56667,-1,3.06061,0.697459,-0.239461,3.01183,0.74723,-0.238809,3.03196,0.64286,-0.295626,0.0696963,0.0834083
258,8.6,-1,3.01473,0.636085,-0.241598,2.96185,0.634041,-0.237493,2.84134,0.517157,-0.281534,0.0530777,0.214015
259,8.63333,-1,2.91639,0.55192,-0.235899,2.91797,0.517598,-0.234937,2.73023,0.405615,-0.274402,0.0343717,0.239878
261,8.7,-1,2.83192,0.398637,-0.230063,2.99858,0.252727,-0.235968,3.05973,0.692383,-0.235735,0.22159,0.371777
262,8.73333,-1,3.03901,0.360436,-0.245615,3.11579,0.132045,-0.236993,3.00929,0.626386,-0.237774,0.241105,0.267721
263,8.76667,-1,3.00073,0.671205,-0.290262,2.90336,0.660107,-0.286357,2.8976,0.530733,-0.231461,0.0980739,0.183917
